supplier_id,supplier_name,country,reliability_rating
SUP001,ChemBase Sdn Bhd,Malaysia,High
SUP002,SinoCoat Materials Co,China,Medium
SUP003,Resin Tech Asia,Singapore,High
SUP004,PackPro Solutions,Malaysia,High
SUP005,Solvent King Pte Ltd,Singapore,Medium
SUP006,Global Pigments Ltd,India,Medium
SUP007,EuroChem Imports,Germany,High
SUP008,Apex Packaging Sdn Bhd,Malaysia,High
SUP009,Pacific Solvents Inc,Thailand,Low
SUP010,Polymer Source Ltd,South Korea,Medium
SUP011,United Advanced Materials Ltd,Japan,Medium
SUP012,United Industries Ltd,Japan,High
SUP013,Matrix Coatings Corp,Germany,Low
SUP014,Pinnacle Solvents Pte Ltd,Germany,Medium
SUP015,Beacon Synthetics Sdn Bhd,Malaysia,Medium
SUP016,Quantum Source Corp,Singapore,High
SUP017,Imperial Coatings Inc,Singapore,Medium
SUP018,Inter Pigments Pte Ltd,India,Low
SUP019,Elite Packaging Pte Ltd,Germany,High
SUP020,Starlight Advanced Materials Co,South Korea,Medium
SUP021,Matrix Advanced Materials Ltd,Malaysia,High
SUP022,Matrix Polymers Pte Ltd,Thailand,High
SUP023,Apex Synthetics Pte Ltd,Indonesia,Medium
SUP024,Elite Source Corp,South Korea,Medium
SUP025,Matrix Source Inc,China,Medium
SUP026,Centurion Organics Sdn Bhd,Malaysia,High
SUP027,Inter Chem Co,Japan,High
SUP028,Dynamic Supply Ltd,Singapore,Medium
SUP029,Horizon Materials Pte Ltd,Vietnam,Low
SUP030,Inter Pack Co,China,High
SUP031,Sigma Resins Ltd,Japan,High
SUP032,Nexus Chem Ltd,Germany,Low
SUP033,Nexus Chem Inc,Indonesia,High
SUP034,Elite Pigments Ltd,Vietnam,Medium
SUP035,Beacon Materials Co,Singapore,High
SUP036,United Supply Co,India,Low
SUP037,Sigma Pigments Inc,Taiwan,High
SUP038,Vortex Pigments Ltd,Singapore,High
SUP039,Global Materials Inc,Vietnam,High
SUP040,Starlight Synthetics Co,India,Medium
SUP041,Dynamic Pigments Corp,Malaysia,High
SUP042,Core Organics Sdn Bhd,Singapore,High
SUP043,Matrix Packaging Corp,Germany,Medium
SUP044,Quantum Synthetics Ltd,Thailand,High
SUP045,Centurion Packaging Co,Malaysia,High
SUP046,Beacon Synthetics Corp,South Korea,High
SUP047,Titan Resins Sdn Bhd,Japan,High
SUP048,Titan Chemicals Pte Ltd,Thailand,High
SUP049,Alpha Chem Ltd,China,Medium
SUP050,Beacon Solvents Co,South Korea,Medium
SUP051,Core Supply Corp,Japan,High
SUP052,Global Solvents Corp,Taiwan,Medium
SUP053,Infinity Chem Sdn Bhd,Taiwan,High
SUP054,Nexus Polymers Ltd,Indonesia,Medium
SUP055,National Pigments Co,Vietnam,Medium
SUP056,United Pack Sdn Bhd,Taiwan,High
SUP057,Summit Materials Ltd,South Korea,Medium
SUP058,Beacon Source Sdn Bhd,India,Medium
SUP059,Global Chem Corp,Germany,Low
SUP060,Core Packaging Sdn Bhd,Singapore,Medium
SUP061,Infinity Coatings Co,Japan,High
SUP062,Alpha Industries Sdn Bhd,Japan,Medium
SUP063,Summit Coatings Sdn Bhd,China,High
SUP064,Zenith Chemicals Corp,Singapore,Medium
SUP065,Inter Polymers Sdn Bhd,India,High
SUP066,Delta Source Co,Japan,Medium
SUP067,United Coatings Sdn Bhd,Malaysia,Medium
SUP068,Core Solutions Corp,Thailand,Low
SUP069,National Pack Ltd,Taiwan,Medium
SUP070,Alpha Advanced Materials Sdn Bhd,Germany,High
SUP071,Infinity Polymers Ltd,Malaysia,High
SUP072,Pinnacle Solutions Inc,Thailand,High
SUP073,Inter Resins Inc,Malaysia,Medium
SUP074,Nexus Chem Co,Germany,High
SUP075,Alpha Coatings Pte Ltd,Vietnam,High
SUP076,Omega Coatings Corp,Japan,High
SUP077,Prime Chemicals Ltd,Indonesia,Medium
SUP078,Titan Pack Sdn Bhd,Vietnam,Medium
SUP079,Infinity Pigments Inc,Indonesia,Medium
SUP080,Nexus Organics Co,Indonesia,High
SUP081,Apex Organics Co,Malaysia,High
SUP082,Pinnacle Advanced Materials Co,China,High
SUP083,Sigma Supply Co,Indonesia,Medium
SUP084,Omega Industries Co,Germany,Medium
SUP085,Delta Synthetics Co,Germany,High
SUP086,Pacific Organics Co,Singapore,Medium
SUP087,Imperial Source Inc,China,Medium
SUP088,National Supply Ltd,Indonesia,High
SUP089,Horizon Packaging Co,Germany,High
SUP090,Beacon Chem Pte Ltd,Thailand,Medium
SUP091,Matrix Organics Inc,Malaysia,Low
SUP092,United Resins Corp,South Korea,High
SUP093,Beacon Source Ltd,Germany,High
SUP094,Elite Resins Sdn Bhd,India,High
SUP095,Infinity Source Inc,South Korea,High
SUP096,Horizon Materials Corp,Germany,Medium
SUP097,Imperial Materials Pte Ltd,Singapore,Medium
SUP098,Alpha Resins Inc,India,Medium
SUP099,Infinity Chemicals Sdn Bhd,Taiwan,Medium
SUP100,Pinnacle Coatings Co,Malaysia,High
SUP101,National Industries Inc,Singapore,Medium
SUP102,Matrix Materials Ltd,China,High
SUP103,Zenith Coatings Sdn Bhd,Indonesia,High
SUP104,Beacon Materials Pte Ltd,China,High
SUP105,United Polymers Pte Ltd,Germany,High
SUP106,Dynamic Polymers Sdn Bhd,Germany,Low
SUP107,Apex Materials Inc,Vietnam,Medium
SUP108,Nexus Supply Ltd,India,High
SUP109,United Resins Co,Malaysia,Medium
SUP110,Sigma Coatings Sdn Bhd,Malaysia,Medium
SUP111,Imperial Source Sdn Bhd,Thailand,High
SUP112,National Supply Co,Vietnam,Medium
SUP113,Inter Pigments Co,India,Medium
SUP114,Prime Source Inc,Germany,High
SUP115,Summit Polymers Inc,South Korea,Medium
SUP116,United Organics Inc,Indonesia,Low
SUP117,Elite Resins Ltd,South Korea,Medium
SUP118,Dynamic Advanced Materials Co,Vietnam,Medium
SUP119,Pinnacle Supply Inc,Thailand,High
SUP120,Vortex Pack Pte Ltd,Vietnam,Medium
SUP121,Beacon Chemicals Inc,Germany,High
SUP122,Alpha Supply Sdn Bhd,India,High
SUP123,Starlight Synthetics Corp,South Korea,High
SUP124,Beacon Pigments Corp,Singapore,High
SUP125,Zenith Pack Inc,Vietnam,Medium
SUP126,Summit Supply Sdn Bhd,Japan,Medium
SUP127,Delta Solvents Pte Ltd,Germany,High
SUP128,Delta Industries Co,Germany,High
SUP129,National Advanced Materials Sdn Bhd,Malaysia,Medium
SUP130,Alpha Coatings Sdn Bhd,Taiwan,High
SUP131,Infinity Pack Corp,Japan,Medium
SUP132,Matrix Resins Sdn Bhd,India,Low
SUP133,Omega Supply Sdn Bhd,Malaysia,High
SUP134,Vortex Source Inc,Singapore,Medium
SUP135,Zenith Resins Sdn Bhd,China,High
SUP136,Zenith Organics Inc,South Korea,High
SUP137,Omega Chem Pte Ltd,Malaysia,High
SUP138,Beacon Supply Inc,Malaysia,High
SUP139,Infinity Solvents Co,Malaysia,Medium
SUP140,Horizon Solvents Ltd,Germany,Medium
SUP141,Delta Resins Pte Ltd,Indonesia,High
SUP142,Delta Solutions Sdn Bhd,Malaysia,Low
SUP143,Vortex Polymers Corp,Malaysia,Medium
SUP144,Global Pack Pte Ltd,Indonesia,Medium
SUP145,Omega Coatings Ltd,China,Medium
SUP146,Omega Synthetics Inc,Taiwan,High
SUP147,Infinity Advanced Materials Inc,Germany,Medium
SUP148,Starlight Chemicals Corp,China,Medium
SUP149,Prime Chemicals Co,Vietnam,Medium
SUP150,Centurion Advanced Materials Co,South Korea,Medium
SUP151,Titan Resins Inc,India,High
SUP152,Titan Materials Sdn Bhd,India,High
SUP153,Global Solvents Inc,China,High
SUP154,Dynamic Industries Ltd,Singapore,Medium
SUP155,Sigma Source Ltd,Thailand,Medium
SUP156,Apex Pack Co,Japan,High
SUP157,Nexus Resins Pte Ltd,Indonesia,High
SUP158,Delta Solvents Sdn Bhd,Germany,High
SUP159,Beacon Solutions Pte Ltd,Malaysia,Medium
SUP160,Vortex Packaging Pte Ltd,Vietnam,High
SUP161,Omega Advanced Materials Corp,Taiwan,Low
SUP162,Titan Polymers Sdn Bhd,Japan,Medium
SUP163,Imperial Advanced Materials Corp,Indonesia,Medium
SUP164,Elite Chemicals Inc,Indonesia,High
SUP165,Centurion Pigments Ltd,South Korea,Medium
SUP166,Prime Organics Pte Ltd,Indonesia,High
SUP167,Sigma Resins Co,Indonesia,Medium
SUP168,Titan Pigments Corp,Indonesia,Medium
SUP169,Summit Supply Inc,India,High
SUP170,Quantum Coatings Sdn Bhd,China,High
SUP171,Prime Chemicals Sdn Bhd,Singapore,High
SUP172,Horizon Solvents Co,Indonesia,Medium
SUP173,Core Organics Corp,Germany,Low
SUP174,Delta Solvents Corp,South Korea,High
SUP175,Dynamic Packaging Ltd,Singapore,High
SUP176,Horizon Polymers Corp,China,Medium
SUP177,Dynamic Polymers Corp,Thailand,High
SUP178,Centurion Solvents Ltd,Vietnam,Medium
SUP179,Dynamic Pack Pte Ltd,Singapore,Medium
SUP180,Horizon Solvents Pte Ltd,Thailand,Medium
SUP181,Imperial Chem Co,Malaysia,Medium
SUP182,Alpha Solutions Corp,Germany,Medium
SUP183,Apex Organics Ltd,Singapore,High
SUP184,Zenith Materials Inc,South Korea,Medium
SUP185,Global Organics Pte Ltd,India,High
SUP186,Horizon Packaging Sdn Bhd,Vietnam,Medium
SUP187,Titan Resins Corp,China,High
SUP188,Centurion Industries Sdn Bhd,China,High
SUP189,Nexus Chem Corp,Japan,Medium
SUP190,Horizon Solutions Co,Singapore,High
SUP191,Horizon Solutions Pte Ltd,India,High
SUP192,Quantum Pack Corp,Singapore,Medium
SUP193,Prime Chemicals Corp,Germany,Low
SUP194,National Pigments Ltd,Thailand,Low
SUP195,United Pack Pte Ltd,India,Medium
SUP196,Alpha Pigments Ltd,India,Low
SUP197,Summit Chem Inc,Germany,Medium
SUP198,Alpha Polymers Corp,China,Medium
SUP199,Core Materials Sdn Bhd,Thailand,Medium
SUP200,Prime Polymers Inc,Japan,Medium
SUP201,Prime Pack Inc,India,Medium
SUP202,Global Polymers Co,Indonesia,High
SUP203,Horizon Industries Corp,Indonesia,High
SUP204,Pacific Pack Pte Ltd,Taiwan,High
SUP205,Vortex Pack Corp,China,Medium
SUP206,Prime Pack Co,Taiwan,Low
SUP207,Apex Source Co,Germany,Low
SUP208,Matrix Materials Sdn Bhd,Indonesia,High
SUP209,National Solutions Sdn Bhd,Thailand,Low
SUP210,Alpha Solutions Inc,Germany,High
SUP211,Apex Chem Corp,South Korea,High
SUP212,Prime Advanced Materials Sdn Bhd,Germany,High
SUP213,Imperial Packaging Ltd,India,Medium
SUP214,Dynamic Solvents Pte Ltd,South Korea,High
SUP215,Global Supply Ltd,Taiwan,High
SUP216,Pacific Chem Sdn Bhd,Taiwan,Medium
SUP217,Starlight Supply Sdn Bhd,India,High
SUP218,Imperial Pack Sdn Bhd,South Korea,Medium
SUP219,Vortex Supply Inc,Japan,Medium
SUP220,Alpha Solutions Ltd,China,Medium
SUP221,Starlight Supply Pte Ltd,Thailand,Medium
SUP222,Apex Chem Inc,South Korea,Low
SUP223,Quantum Materials Ltd,China,High
SUP224,Matrix Chem Sdn Bhd,South Korea,High
SUP225,Sigma Pack Corp,Vietnam,Medium
SUP226,Prime Pack Pte Ltd,Singapore,High
SUP227,Elite Solutions Ltd,India,Low
SUP228,Omega Solutions Pte Ltd,South Korea,Medium
SUP229,Alpha Source Inc,Singapore,Medium
SUP230,Starlight Chemicals Sdn Bhd,Germany,High
SUP231,Quantum Chemicals Ltd,South Korea,High
SUP232,Imperial Resins Inc,Thailand,Medium
SUP233,Inter Chemicals Inc,Singapore,Low
SUP234,Omega Synthetics Sdn Bhd,Indonesia,Medium
SUP235,Core Solutions Sdn Bhd,China,High
SUP236,Vortex Pigments Sdn Bhd,Thailand,Medium
SUP237,Elite Polymers Pte Ltd,Indonesia,Low
SUP238,Global Resins Ltd,Thailand,Low
SUP239,Delta Materials Co,Vietnam,High
SUP240,Pacific Synthetics Inc,Indonesia,High
SUP241,Core Solvents Ltd,Japan,High
SUP242,Vortex Pigments Pte Ltd,Malaysia,High
SUP243,Starlight Solutions Pte Ltd,Thailand,Medium
SUP244,National Polymers Ltd,Indonesia,High
SUP245,Dynamic Pack Ltd,India,Medium
SUP246,United Pack Ltd,Thailand,High
SUP247,Prime Resins Sdn Bhd,Indonesia,High
SUP248,Imperial Coatings Co,Taiwan,Medium
SUP249,Core Organics Ltd,China,Medium
SUP250,Global Packaging Sdn Bhd,Japan,Medium
SUP251,Summit Industries Pte Ltd,Vietnam,High
SUP252,Nexus Resins Co,Singapore,High
SUP253,Global Synthetics Ltd,Germany,High
SUP254,Core Supply Inc,Malaysia,Low
SUP255,Infinity Pack Inc,Malaysia,Medium
SUP256,Omega Source Corp,Japan,High
SUP257,Summit Synthetics Ltd,Indonesia,High
SUP258,Beacon Advanced Materials Pte Ltd,South Korea,Low
SUP259,Prime Pigments Sdn Bhd,Singapore,Low
SUP260,Zenith Pigments Ltd,China,Medium
SUP261,United Supply Corp,Japan,High
SUP262,Starlight Organics Pte Ltd,Singapore,Medium
SUP263,Matrix Synthetics Sdn Bhd,India,Medium
SUP264,Summit Organics Pte Ltd,Malaysia,Medium
SUP265,Quantum Synthetics Corp,China,High
SUP266,Quantum Chemicals Corp,Taiwan,Medium
SUP267,Vortex Coatings Ltd,South Korea,High
SUP268,Titan Synthetics Sdn Bhd,Japan,High
SUP269,Summit Materials Corp,Vietnam,High
SUP270,Imperial Resins Sdn Bhd,Malaysia,High
SUP271,Horizon Source Sdn Bhd,Germany,Low
SUP272,Inter Advanced Materials Sdn Bhd,Vietnam,Medium
SUP273,Pinnacle Resins Inc,Germany,High
SUP274,Pacific Pigments Corp,Japan,High
SUP275,Vortex Chemicals Sdn Bhd,South Korea,Low
SUP276,Core Pack Co,Thailand,Medium
SUP277,Vortex Solutions Pte Ltd,Taiwan,High
SUP278,Beacon Packaging Sdn Bhd,Indonesia,Medium
SUP279,Pacific Resins Inc,Thailand,Low
SUP280,Titan Packaging Ltd,India,Low
SUP281,Core Materials Ltd,China,High
SUP282,Titan Coatings Ltd,Thailand,Medium
SUP283,Prime Packaging Co,Germany,High
SUP284,Inter Coatings Ltd,Vietnam,High
SUP285,Global Synthetics Pte Ltd,Vietnam,High
SUP286,Summit Resins Ltd,Taiwan,High
SUP287,Starlight Advanced Materials Corp,Japan,Medium
SUP288,Infinity Solvents Inc,Germany,Low
SUP289,National Coatings Pte Ltd,Japan,Medium
SUP290,Vortex Chem Corp,Japan,Medium
SUP291,Matrix Chem Ltd,Taiwan,High
SUP292,Vortex Industries Inc,Vietnam,Low
SUP293,Apex Solvents Co,South Korea,Medium
SUP294,Vortex Materials Pte Ltd,Taiwan,High
SUP295,Elite Organics Inc,South Korea,High
SUP296,Vortex Solutions Ltd,Malaysia,Medium
SUP297,Matrix Chemicals Co,Japan,Medium
SUP298,Infinity Solvents Ltd,South Korea,Medium
SUP299,Global Advanced Materials Corp,Germany,High
SUP300,Apex Polymers Pte Ltd,India,High
SUP301,Titan Synthetics Corp,Malaysia,Medium
SUP302,Pinnacle Polymers Ltd,Singapore,Medium
SUP303,Pinnacle Pigments Inc,Taiwan,Medium
SUP304,Prime Advanced Materials Ltd,Taiwan,Medium
SUP305,Beacon Chemicals Corp,China,Low
SUP306,Titan Coatings Inc,Vietnam,High
SUP307,Sigma Industries Co,China,Medium
SUP308,Imperial Industries Ltd,Singapore,Low
SUP309,Pinnacle Advanced Materials Inc,Taiwan,Low
SUP310,National Resins Ltd,Taiwan,High
SUP311,Starlight Solvents Pte Ltd,Singapore,High
SUP312,Summit Synthetics Pte Ltd,Taiwan,Low
SUP313,Elite Supply Inc,Germany,High
SUP314,Core Solutions Pte Ltd,India,High
SUP315,Elite Advanced Materials Sdn Bhd,South Korea,High
SUP316,Pinnacle Polymers Sdn Bhd,Thailand,High
SUP317,Starlight Chemicals Ltd,Malaysia,High
SUP318,Zenith Solutions Corp,Taiwan,Medium
SUP319,Alpha Solvents Sdn Bhd,Japan,Medium
SUP320,National Packaging Sdn Bhd,Vietnam,Medium
SUP321,Prime Source Corp,Thailand,High
SUP322,Alpha Materials Pte Ltd,Malaysia,Medium
SUP323,Alpha Packaging Inc,Malaysia,Medium
SUP324,Beacon Pigments Pte Ltd,Thailand,Medium
SUP325,Elite Advanced Materials Pte Ltd,Indonesia,High
SUP326,Titan Pack Ltd,Singapore,Medium
SUP327,Inter Solvents Sdn Bhd,South Korea,Medium
SUP328,Inter Synthetics Pte Ltd,India,High
SUP329,Core Pigments Ltd,India,Medium
SUP330,Pacific Coatings Sdn Bhd,Indonesia,High
SUP331,Zenith Synthetics Co,Vietnam,Medium
SUP332,Beacon Solutions Co,Japan,Medium
SUP333,Delta Synthetics Pte Ltd,Thailand,Medium
SUP334,Omega Resins Sdn Bhd,Taiwan,Medium
SUP335,Quantum Coatings Inc,Thailand,High
SUP336,Alpha Pigments Co,Malaysia,Medium
SUP337,Beacon Resins Co,India,Medium
SUP338,Zenith Supply Ltd,Vietnam,High
SUP339,Delta Chemicals Co,China,Medium
SUP340,Apex Solvents Pte Ltd,Singapore,Medium
SUP341,Omega Synthetics Ltd,China,Medium
SUP342,Prime Chem Ltd,Indonesia,Medium
SUP343,Infinity Materials Co,China,High
SUP344,Horizon Solvents Inc,Vietnam,High
SUP345,Centurion Pigments Sdn Bhd,India,Medium
SUP346,Pacific Supply Ltd,Vietnam,Low
SUP347,Global Coatings Inc,Germany,High
SUP348,Matrix Synthetics Co,South Korea,High
SUP349,Dynamic Materials Ltd,Thailand,High
SUP350,Quantum Materials Co,Vietnam,High
SUP351,Imperial Pack Ltd,Malaysia,High
SUP352,Omega Industries Inc,Germany,Medium
SUP353,Titan Supply Co,Japan,Medium
SUP354,Prime Solvents Co,Taiwan,High
SUP355,Zenith Solutions Pte Ltd,Vietnam,Medium
SUP356,Imperial Chem Ltd,Thailand,High
SUP357,Core Resins Sdn Bhd,Malaysia,Medium
SUP358,Pinnacle Materials Co,Germany,High
SUP359,Core Industries Corp,China,High
SUP360,Summit Pigments Ltd,China,High
SUP361,Sigma Pack Pte Ltd,Germany,High
SUP362,Matrix Solvents Inc,Thailand,High
SUP363,Alpha Industries Pte Ltd,China,High
SUP364,Beacon Pack Sdn Bhd,Taiwan,Low
SUP365,Elite Polymers Sdn Bhd,Malaysia,High
SUP366,Infinity Solutions Inc,Germany,Medium
SUP367,Starlight Chemicals Pte Ltd,Thailand,High
SUP368,Alpha Packaging Sdn Bhd,Vietnam,High
SUP369,Inter Industries Co,China,High
SUP370,Elite Polymers Corp,Singapore,Medium
SUP371,Zenith Organics Sdn Bhd,South Korea,High
SUP372,Dynamic Chem Corp,Thailand,Medium
SUP373,Delta Advanced Materials Sdn Bhd,Indonesia,High
SUP374,Delta Chem Sdn Bhd,Malaysia,High
SUP375,Pacific Industries Ltd,Japan,Medium
SUP376,Inter Coatings Inc,Indonesia,Low
SUP377,Global Solvents Co,Germany,Medium
SUP378,Summit Synthetics Inc,China,Medium
SUP379,Prime Synthetics Co,Taiwan,Medium
SUP380,Pacific Solutions Pte Ltd,Taiwan,Medium
SUP381,Delta Industries Inc,Vietnam,Medium
SUP382,National Advanced Materials Co,Germany,High
SUP383,National Chemicals Corp,India,High
SUP384,Imperial Solutions Ltd,Singapore,Medium
SUP385,Quantum Polymers Corp,China,High
SUP386,Vortex Polymers Pte Ltd,Vietnam,Medium
SUP387,United Synthetics Pte Ltd,South Korea,Medium
SUP388,United Supply Pte Ltd,Indonesia,Low
SUP389,Imperial Polymers Corp,South Korea,Medium
SUP390,Pinnacle Organics Pte Ltd,Taiwan,High
SUP391,Omega Packaging Pte Ltd,Vietnam,Medium
SUP392,Centurion Materials Sdn Bhd,Indonesia,High
SUP393,Apex Polymers Co,South Korea,Medium
SUP394,Zenith Polymers Pte Ltd,Malaysia,High
SUP395,Horizon Advanced Materials Sdn Bhd,Singapore,Medium
SUP396,Alpha Supply Corp,Germany,Medium
SUP397,Starlight Pigments Ltd,Indonesia,High
SUP398,Vortex Chemicals Ltd,South Korea,Medium
SUP399,Nexus Materials Corp,South Korea,Medium
SUP400,Dynamic Pigments Co,Singapore,Medium
SUP401,Pacific Materials Inc,India,High
SUP402,Alpha Polymers Ltd,Vietnam,High
SUP403,Core Solvents Sdn Bhd,South Korea,High
SUP404,Titan Chemicals Co,Germany,High
SUP405,Delta Pack Corp,Japan,Medium
SUP406,Beacon Coatings Corp,Thailand,High
SUP407,Pinnacle Chemicals Corp,Malaysia,Low
SUP408,Pinnacle Polymers Inc,Vietnam,High
SUP409,Quantum Source Co,Malaysia,High
SUP410,Horizon Pack Co,Malaysia,Medium
SUP411,Zenith Pack Sdn Bhd,Germany,Medium
SUP412,Pacific Chemicals Inc,India,High
SUP413,Zenith Organics Pte Ltd,Vietnam,High
SUP414,Dynamic Coatings Co,South Korea,Low
SUP415,Zenith Solvents Ltd,Thailand,High
SUP416,Omega Resins Co,Indonesia,Medium
SUP417,Titan Materials Corp,China,Medium
SUP418,Centurion Materials Corp,Thailand,High
SUP419,United Solutions Sdn Bhd,Germany,High
SUP420,Core Chemicals Ltd,China,Low
SUP421,Zenith Materials Sdn Bhd,China,High
SUP422,Omega Chem Co,Malaysia,Medium
SUP423,Omega Solutions Inc,India,Medium
SUP424,Vortex Chemicals Inc,China,Medium
SUP425,Vortex Solutions Co,China,High
SUP426,Pacific Industries Corp,China,Medium
SUP427,Global Materials Sdn Bhd,China,High
SUP428,Zenith Advanced Materials Sdn Bhd,South Korea,High
SUP429,Nexus Packaging Co,Singapore,High
SUP430,Infinity Chem Co,India,Low
SUP431,Titan Resins Co,India,High
SUP432,Horizon Coatings Ltd,Thailand,Medium
SUP433,Horizon Resins Corp,South Korea,High
SUP434,Core Solvents Inc,Indonesia,Medium
SUP435,Centurion Pigments Inc,Malaysia,High
SUP436,Beacon Organics Inc,Germany,Medium
SUP437,Vortex Polymers Sdn Bhd,Singapore,High
SUP438,Dynamic Polymers Pte Ltd,India,High
SUP439,Zenith Pack Ltd,Vietnam,Medium
SUP440,Quantum Organics Sdn Bhd,Vietnam,High
SUP441,Centurion Packaging Sdn Bhd,Malaysia,Medium
SUP442,Infinity Chem Pte Ltd,China,High
SUP443,Starlight Pack Inc,Taiwan,High
SUP444,Matrix Pack Sdn Bhd,Malaysia,High
SUP445,Centurion Organics Ltd,Germany,Medium
SUP446,Matrix Industries Sdn Bhd,Singapore,High
SUP447,Centurion Supply Inc,India,Medium
SUP448,Dynamic Advanced Materials Ltd,South Korea,Medium
SUP449,National Industries Pte Ltd,Germany,Medium
SUP450,Omega Pack Pte Ltd,Thailand,High
SUP451,Infinity Supply Sdn Bhd,Vietnam,High
SUP452,Apex Polymers Corp,Vietnam,Medium
SUP453,Beacon Materials Inc,India,High
SUP454,Matrix Chemicals Corp,Germany,Low
SUP455,Infinity Chemicals Ltd,Indonesia,High
SUP456,Matrix Packaging Sdn Bhd,Japan,High
SUP457,Starlight Synthetics Ltd,Malaysia,Medium
SUP458,Nexus Pigments Sdn Bhd,Vietnam,Medium
SUP459,Delta Organics Corp,Germany,Low
SUP460,Elite Pack Corp,South Korea,High
SUP461,Dynamic Industries Sdn Bhd,Thailand,Medium
SUP462,Delta Advanced Materials Co,Taiwan,Low
SUP463,Prime Synthetics Inc,Thailand,Medium
SUP464,Alpha Coatings Corp,Singapore,High
SUP465,United Synthetics Sdn Bhd,Germany,High
SUP466,Quantum Source Sdn Bhd,Germany,Medium
SUP467,Apex Pack Ltd,Indonesia,Medium
SUP468,Summit Materials Inc,South Korea,Medium
SUP469,Global Packaging Inc,Vietnam,Medium
SUP470,Omega Materials Pte Ltd,Indonesia,High
SUP471,Titan Solutions Corp,Vietnam,Low
SUP472,Summit Industries Ltd,South Korea,High
SUP473,National Resins Pte Ltd,India,High
SUP474,Apex Materials Corp,Singapore,High
SUP475,Pacific Pack Inc,Indonesia,Medium
SUP476,Titan Pigments Co,Singapore,High
SUP477,Infinity Polymers Corp,Japan,Medium
SUP478,Zenith Supply Corp,Singapore,High
SUP479,Vortex Synthetics Corp,Indonesia,Medium
SUP480,Apex Source Inc,India,High
SUP481,Titan Chem Pte Ltd,India,High
SUP482,Starlight Advanced Materials Ltd,Vietnam,Low
SUP483,Vortex Chem Sdn Bhd,Thailand,Medium
SUP484,Infinity Advanced Materials Ltd,Thailand,Low
SUP485,Starlight Industries Sdn Bhd,Indonesia,Medium
SUP486,Summit Materials Pte Ltd,Singapore,High
SUP487,Titan Organics Corp,Malaysia,Low
SUP488,National Materials Ltd,Indonesia,Medium
SUP489,Horizon Supply Inc,Indonesia,Low
SUP490,Apex Pigments Pte Ltd,Singapore,High
SUP491,Summit Polymers Corp,Vietnam,High
SUP492,Centurion Synthetics Pte Ltd,Thailand,High
SUP493,Nexus Solutions Pte Ltd,Thailand,High
SUP494,Summit Organics Corp,Vietnam,High
SUP495,Centurion Industries Co,China,Low
SUP496,Summit Polymers Pte Ltd,Malaysia,Medium
SUP497,Pacific Advanced Materials Pte Ltd,Japan,Medium
SUP498,Centurion Advanced Materials Inc,Indonesia,Medium
SUP499,Centurion Solutions Sdn Bhd,Germany,Low
